country,year,throughput,lpi_score,storm_count
Aruba,2019,195,4.36,6
Aruba,2020,301,4.25,1
Aruba,2021,385,4.37,9
Aruba,2022,367,4.71,5
Aruba,2023,232,4.7,4
Afghanistan,2019,769,2.5,6
Afghanistan,2020,690,2.9,3
Afghanistan,2021,750,2.49,5
Afghanistan,2022,785,2.87,3
Afghanistan,2023,707,2.71,8
Angola,2019,703,3.62,8
Angola,2020,743,3.65,4
Angola,2021,657,3.64,8
Angola,2022,686,3.51,9
Angola,2023,733,3.74,4
Anguilla,2019,869,3.32,5
Anguilla,2020,752,2.75,3
Anguilla,2021,926,3.19,1
Anguilla,2022,744,2.79,7
Anguilla,2023,900,2.85,3
Åland Islands,2019,116,2.82,6
Åland Islands,2020,61,3.12,2
Åland Islands,2021,95,3.11,8
Åland Islands,2022,94,2.85,4
Åland Islands,2023,20,3.15,6
Albania,2019,128,3.79,6
Albania,2020,238,3.51,8
Albania,2021,297,3.57,2
Albania,2022,195,3.56,4
Albania,2023,158,3.37,3
Andorra,2019,992,2.46,4
Andorra,2020,969,2.63,9
Andorra,2021,877,2.35,2
Andorra,2022,895,2.65,2
Andorra,2023,818,2.37,4
United Arab Emirates,2019,24,3.9,4
United Arab Emirates,2020,111,3.86,5
United Arab Emirates,2021,130,4.11,7
United Arab Emirates,2022,69,3.77,7
United Arab Emirates,2023,75,3.56,9
Argentina,2019,175,1.91,4
Argentina,2020,170,2.11,2
Argentina,2021,146,1.79,5
Argentina,2022,272,1.99,4
Argentina,2023,237,2.2,10
Armenia,2019,402,3.43,4
Armenia,2020,479,3.25,4
Armenia,2021,549,3.48,5
Armenia,2022,508,3.07,7
Armenia,2023,542,3.61,12
American Samoa,2019,391,4.07,3
American Samoa,2020,434,4,4
American Samoa,2021,505,3.99,6
American Samoa,2022,446,4.23,5
American Samoa,2023,481,4.03,6
Antarctica,2019,863,3.71,4
Antarctica,2020,844,3.53,7
Antarctica,2021,911,3.69,4
Antarctica,2022,745,3.44,4
Antarctica,2023,883,3.45,9
French Southern Territories,2019,748,3.46,4
French Southern Territories,2020,726,3.45,6
French Southern Territories,2021,798,3.16,6
French Southern Territories,2022,694,3.44,9
French Southern Territories,2023,855,3.57,3
Antigua and Barbuda,2019,591,4.26,2
Antigua and Barbuda,2020,586,4.53,7
Antigua and Barbuda,2021,587,4.52,8
Antigua and Barbuda,2022,621,4.5,6
Antigua and Barbuda,2023,559,4.09,9
Australia,2019,954,4.05,7
Australia,2020,883,4.22,5
Australia,2021,959,4.54,0
Australia,2022,907,4.39,3
Australia,2023,997,4.13,4
Austria,2019,264,2.17,2
Austria,2020,330,2.15,5
Austria,2021,219,2.54,8
Austria,2022,207,2.26,6
Austria,2023,204,2.43,3
Azerbaijan,2019,885,3.59,4
Azerbaijan,2020,800,3.31,8
Azerbaijan,2021,974,3.42,4
Azerbaijan,2022,808,3.3,3
Azerbaijan,2023,851,3.21,5
Burundi,2019,719,3.86,9
Burundi,2020,577,3.52,5
Burundi,2021,718,3.58,4
Burundi,2022,568,3.95,2
Burundi,2023,588,3.54,6
Belgium,2019,68,4.39,7
Belgium,2020,232,4.28,3
Belgium,2021,166,4.51,6
Belgium,2022,182,4.59,5
Belgium,2023,105,4.41,4
Benin,2019,982,2.77,9
Benin,2020,855,2.52,5
Benin,2021,937,2.59,2
Benin,2022,1015,2.48,9
Benin,2023,853,2.42,9
"Bonaire, Sint Eustatius and Saba",2019,491,2.23,9
"Bonaire, Sint Eustatius and Saba",2020,640,1.96,3
"Bonaire, Sint Eustatius and Saba",2021,448,2.3,9
"Bonaire, Sint Eustatius and Saba",2022,570,2.03,10
"Bonaire, Sint Eustatius and Saba",2023,543,1.97,4
Burkina Faso,2019,456,2.83,3
Burkina Faso,2020,326,2.84,4
Burkina Faso,2021,343,2.92,8
Burkina Faso,2022,373,3.26,7
Burkina Faso,2023,429,2.87,3
Bangladesh,2019,292,3.2,9
Bangladesh,2020,255,3.19,5
Bangladesh,2021,388,3,3
Bangladesh,2022,386,3.4,4
Bangladesh,2023,268,3.21,4
Bulgaria,2019,275,3.89,5
Bulgaria,2020,309,3.39,1
Bulgaria,2021,363,3.85,2
Bulgaria,2022,409,3.94,3
Bulgaria,2023,411,3.86,4
Bahrain,2019,534,4.33,7
Bahrain,2020,696,4.04,10
Bahrain,2021,630,4.05,8
Bahrain,2022,551,4.16,6
Bahrain,2023,582,4.12,6
Bahamas,2019,338,2.76,4
Bahamas,2020,451,2.42,1
Bahamas,2021,395,2.81,7
Bahamas,2022,360,2.72,4
Bahamas,2023,356,2.42,9
Bosnia and Herzegovina,2019,586,3.4,7
Bosnia and Herzegovina,2020,598,3.28,4
Bosnia and Herzegovina,2021,737,3.66,4
Bosnia and Herzegovina,2022,720,3.43,3
Bosnia and Herzegovina,2023,765,3.4,3
Saint Barthélemy,2019,804,2.25,10
Saint Barthélemy,2020,930,2.27,3
Saint Barthélemy,2021,866,2.38,6
Saint Barthélemy,2022,801,2.1,3
Saint Barthélemy,2023,942,2.49,4
Belarus,2019,470,3.04,6
Belarus,2020,480,3.18,2
Belarus,2021,438,2.99,10
Belarus,2022,482,3.36,3
Belarus,2023,484,2.82,7
Belize,2019,218,2.44,5
Belize,2020,284,1.89,7
Belize,2021,261,2.03,7
Belize,2022,225,1.91,7
Belize,2023,248,2.39,8
Bermuda,2019,622,4.14,3
Bermuda,2020,793,4.2,4
Bermuda,2021,654,4.02,1
Bermuda,2022,747,4.32,7
Bermuda,2023,746,4.13,10
"Bolivia, Plurinational State of",2019,85,2.12,5
"Bolivia, Plurinational State of",2020,66,2.16,6
"Bolivia, Plurinational State of",2021,27,2.31,6
"Bolivia, Plurinational State of",2022,142,2.21,7
"Bolivia, Plurinational State of",2023,137,1.86,7
Brazil,2019,283,4.51,6
Brazil,2020,317,4.48,8
Brazil,2021,267,4.42,4
Brazil,2022,292,4.63,7
Brazil,2023,277,4.12,7
Barbados,2019,86,4.46,9
Barbados,2020,31,4.58,10
Barbados,2021,113,4.3,4
Barbados,2022,25,4.34,3
Barbados,2023,207,4.49,3
Brunei Darussalam,2019,737,2.38,3
Brunei Darussalam,2020,603,2.11,4
Brunei Darussalam,2021,726,2.02,5
Brunei Darussalam,2022,625,2.45,2
Brunei Darussalam,2023,749,1.91,4
Bhutan,2019,698,2.87,3
Bhutan,2020,634,3.18,2
Bhutan,2021,657,2.99,6
Bhutan,2022,754,3.03,5
Bhutan,2023,743,2.81,13
Bouvet Island,2019,884,2.83,2
Bouvet Island,2020,910,2.96,3
Bouvet Island,2021,918,2.48,5
Bouvet Island,2022,922,2.99,6
Bouvet Island,2023,951,2.98,5
Botswana,2019,608,3.34,1
Botswana,2020,670,3.45,10
Botswana,2021,669,3.67,7
Botswana,2022,551,3.64,3
Botswana,2023,597,3.23,11
Central African Republic,2019,731,3.22,4
Central African Republic,2020,811,3.34,11
Central African Republic,2021,848,3.29,4
Central African Republic,2022,733,3.14,4
Central African Republic,2023,781,3.24,5
Canada,2019,886,2.54,6
Canada,2020,788,2.8,2
Canada,2021,908,2.49,10
Canada,2022,897,2.4,6
Canada,2023,766,2.59,3
Cocos (Keeling) Islands,2019,817,2.42,10
Cocos (Keeling) Islands,2020,941,2.68,5
Cocos (Keeling) Islands,2021,933,2.58,3
Cocos (Keeling) Islands,2022,825,2.83,4
Cocos (Keeling) Islands,2023,860,2.67,4
Switzerland,2019,66,4.18,3
Switzerland,2020,105,4.55,4
Switzerland,2021,157,4.42,4
Switzerland,2022,116,4.48,4
Switzerland,2023,117,4.25,7
Chile,2019,815,3.48,8
Chile,2020,768,3.35,5
Chile,2021,762,3.74,8
Chile,2022,897,3.78,5
Chile,2023,796,3.81,7
China,2019,260,3.03,2
China,2020,189,2.91,3
China,2021,180,2.98,3
China,2022,322,2.91,5
China,2023,186,2.9,6
Côte d'Ivoire,2019,772,4.11,2
Côte d'Ivoire,2020,694,4.01,4
Côte d'Ivoire,2021,693,4.5,6
Côte d'Ivoire,2022,703,4.14,2
Côte d'Ivoire,2023,852,4.35,5
Cameroon,2019,728,4.51,9
Cameroon,2020,565,4.48,5
Cameroon,2021,578,4.34,4
Cameroon,2022,596,4.59,7
Cameroon,2023,727,4.38,1
"Congo, The Democratic Republic of the",2019,710,3.09,5
"Congo, The Democratic Republic of the",2020,715,3.2,2
"Congo, The Democratic Republic of the",2021,597,2.9,4
"Congo, The Democratic Republic of the",2022,699,3.08,5
"Congo, The Democratic Republic of the",2023,642,3.1,2
Congo,2019,480,3.66,3
Congo,2020,490,3.34,5
Congo,2021,498,3.62,2
Congo,2022,388,3.44,5
Congo,2023,394,3.22,7
Cook Islands,2019,144,3.02,4
Cook Islands,2020,129,2.58,8
Cook Islands,2021,154,2.58,5
Cook Islands,2022,183,3.04,5
Cook Islands,2023,115,2.91,1
Colombia,2019,1038,1.91,3
Colombia,2020,946,1.81,6
Colombia,2021,1047,2.23,4
Colombia,2022,994,1.81,4
Colombia,2023,978,2.04,7
